,검색날짜,사용자,주제,언론사,제목,링크
0,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
1,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
2,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
3,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
4,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
5,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
6,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
7,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
8,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
9,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
10,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
11,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
12,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
13,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
14,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
15,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
16,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
17,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
18,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
19,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
20,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
